学校名,年度,回数,通し問題番号,大問番号,中問,小問番号,大分類,メイン単元,難易度,配点,問題形式
青山学院,2022,1,7,7,1,1,C,C1,2,6,1
青山学院,2022,1,8,8,1,1,D,D9,2,6,1
青山学院,2022,1,9,9,1,1,E,E6,3,6,1
青山学院,2022,1,10,10,1,1,F,F1,2,6,1
青山学院,2022,1,11,11,1,1,E,E2,2,6,1
青山学院,2022,1,12,11,2,1,E,E2,2,6,1
青山学院,2022,1,13,12,1,1,F,F2,2,7,1
青山学院,2022,1,14,12,2,1,F,F2,3,7,1
青山学院,2022,1,15,13,1,1,E,E2,2,7,1
青山学院,2022,1,16,13,2,1,E,E2,3,7,1
青山学院,2021,1,1,1,1,1,A,A1,1,6,1
青山学院,2021,1,2,2,1,1,A,A1,1,6,1
青山学院,2021,1,3,3,1,1,A,A1,1,6,1
青山学院,2021,1,4,4,1,1,D,D5,2,6,1
青山学院,2021,1,5,5,1,1,E,E2,2,6,1
青山学院,2021,1,6,6,1,1,D,D6,3,6,1
青山学院,2021,1,7,7,1,1,C,C3,3,6,1
青山学院,2021,1,8,8,1,1,C,C5,3,6,1
青山学院,2021,1,9,9,1,1,J,J1,3,6,1
青山学院,2021,1,10,10,1,1,F,F3,2,6,1
青山学院,2021,1,11,11,1,1,F,F1,2,6,1
青山学院,2021,1,12,12,1,1,F,F2,3,6,1
青山学院,2021,1,13,13,1,1,H,H2,2,7,1
青山学院,2021,1,14,13,2,1,B,B1,3,7,1
青山学院,2021,1,15,14,1,1,G,G3,2,7,1
青山学院,2021,1,16,14,2,1,G,G3,3,7,1
青山学院,2020,1,1,1,1,1,A,A1,1,6,1
青山学院,2020,1,2,2,1,1,A,A1,1,6,1
青山学院,2020,1,3,3,1,1,A,A1,1,6,1
青山学院,2020,1,4,4,1,1,F,F2,2,6,1
青山学院,2020,1,5,5,1,1,D,D5,2,6,1
青山学院,2020,1,6,6,1,1,D,D1,2,6,1
青山学院,2020,1,7,7,1,1,E,E1,2,6,1
青山学院,2020,1,8,8,1,1,C,C3,2,6,1
青山学院,2020,1,9,9,1,1,E,E1,2,6,1
青山学院,2020,1,10,10,1,1,C,C3,3,6,1
青山学院,2020,1,11,11,1,1,F,F4,3,6,1
青山学院,2020,1,12,12,1,1,F,F1,3,6,1
青山学院,2020,1,13,13,1,1,G,G3,2,7,1
青山学院,2020,1,14,13,2,1,G,G3,2,7,1
青山学院,2020,1,15,14,1,1,C,C3,2,7,1
青山学院,2020,1,16,14,2,1,C,C3,3,7,1
東京農大一,2022,1,1,1,1,1,,,,5,1
東京農大一,2022,1,2,1,2,1,,,,5,1
東京農大一,2022,1,3,1,3,1,,,,5,1
東京農大一,2022,1,4,1,4,1,,,,5,1
東京農大一,2022,1,5,2,1,1,,,,5,1
東京農大一,2022,1,6,2,2,1,,,,5,1
東京農大一,2022,1,7,2,3,1,,,,5,1
東京農大一,2022,1,8,3,1,1,,,,5,1
東京農大一,2022,1,9,3,2,1,,,,5,1
東京農大一,2022,1,10,4,1,1,,,,5,1
東京農大一,2022,1,11,4,2,1,,,,5,1
東京農大一,2022,1,12,4,3,1,,,,5,1
東京農大一,2022,1,13,4,4,1,,,,5,1
東京農大一,2022,1,14,4,5,1,,,,5,1
東京農大一,2022,1,15,4,6,1,,,,5,1
東京農大一,2022,1,16,4,7,1,,,,5,1
東京農大一,2022,1,16,4,8,1,,,,5,1
東京農大一,2022,1,16,5,1,1,,,,5,1
東京農大一,2022,1,16,5,2,1,,,,5,4
東京農大一,2022,1,16,5,3,1,,,,5,1
東京農大一,2021,1,1,1,1,1,,,,5,1
東京農大一,2021,1,2,1,2,1,,,,5,1
東京農大一,2021,1,3,1,3,1,,,,5,1
東京農大一,2021,1,4,1,4,1,,,,5,1
東京農大一,2021,1,5,2,1,1,,,,5,1
東京農大一,2021,1,6,2,2,1,,,,5,1
東京農大一,2021,1,7,2,3,1,,,,5,1
東京農大一,2021,1,8,3,1,1,,,,5,1
東京農大一,2021,1,9,3,2,1,,,,5,1
東京農大一,2021,1,10,3,3,1,,,,5,1
東京農大一,2021,1,11,4,1,1,,,,5,1
東京農大一,2021,1,12,4,2,1,,,,5,1
東京農大一,2021,1,13,4,3,1,,,,5,1
東京農大一,2021,1,14,4,4,1,,,,5,1
東京農大一,2021,1,15,4,4,2,,,,5,
東京農大一,2021,1,16,4,5,1,,,,5,1
東京農大一,2021,1,17,4,6,1,,,,5,1
東京農大一,2021,1,18,5,1,1,,,,5,1
東京農大一,2021,1,19,5,2,1,,,,5,1
東京農大一,2021,1,20,5,3,1,,,,5,1
世田谷学園,2022,1,1,1,1,1,A,A1,2,5,1
世田谷学園,2022,1,2,1,2,1,H,H2,1,5,1
世田谷学園,2022,1,3,1,3,1,D,D6,2,5,1
世田谷学園,2022,1,4,1,4,1,D,D6,2,5,1
世田谷学園,2022,1,5,1,5,1,D,D7,2,5,1
世田谷学園,2022,1,6,1,6,1,E,E1,3,5,1
世田谷学園,2022,1,7,2,1,1,F,F2,2,7,1
世田谷学園,2022,1,8,2,2,1,E,E2,2,7,1
世田谷学園,2022,1,9,3,1,1,F,F1,2,7,1
世田谷学園,2022,1,10,3,2,1,F,F1,2,7,1
世田谷学園,2022,1,11,4,1,1,H,H4,1,7,1
世田谷学園,2022,1,12,4,2,1,H,H4,2,7,1
世田谷学園,2022,1,13,5,1,1,D,D3,2,7,2
世田谷学園,2022,1,14,5,2,1,D,D3,2,7,2
世田谷学園,2022,1,15,6,1,1,G,G3,3,7,2
世田谷学園,2022,1,16,6,2,1,G,G3,3,7,2
世田谷学園,2022,2,1,1,1,1,,,,5,1
世田谷学園,2022,2,2,1,2,1,,,,5,1
世田谷学園,2022,2,3,1,3,1,,,,5,1
世田谷学園,2022,2,4,1,4,1,,,,5,1
世田谷学園,2022,2,5,1,5,1,,,,5,1
世田谷学園,2022,2,6,1,6,1,,,,5,1
世田谷学園,2022,2,7,2,1,1,,,,7,1
世田谷学園,2022,2,8,2,2,1,,,,7,1
世田谷学園,2022,2,9,3,1,1,,,,7,1
世田谷学園,2022,2,10,3,2,1,,,,7,1
世田谷学園,2022,2,11,4,1,1,,,,7,1
世田谷学園,2022,2,12,4,2,1,,,,7,1
世田谷学園,2022,2,13,5,1,1,,,,5,2
世田谷学園,2022,2,14,5,2,1,,,,9,2
世田谷学園,2022,2,15,6,1,1,,,,7,2
世田谷学園,2022,2,16,6,2,1,,,,7,2
世田谷学園,2022,3,1,1,1,1,,,,5,1
世田谷学園,2022,3,2,1,2,1,,,,5,1
世田谷学園,2022,3,3,1,3,1,,,,5,1
世田谷学園,2022,3,4,1,4,1,,,,5,1
世田谷学園,2022,3,5,1,5,1,,,,5,1
世田谷学園,2022,3,6,1,6,1,,,,5,1
世田谷学園,2022,3,7,2,1,1,,,,7,1
世田谷学園,2022,3,8,2,2,1,,,,7,1
世田谷学園,2022,3,9,3,1,1,,,,7,1
世田谷学園,2022,3,10,3,2,1,,,,7,1
世田谷学園,2022,3,11,4,1,1,,,,7,1
世田谷学園,2022,3,12,4,2,1,,,,7,1
世田谷学園,2022,3,13,5,1,1,,,,6,2
世田谷学園,2022,3,14,5,2,1,,,,8,2
世田谷学園,2022,3,15,6,1,1,,,,6,3
世田谷学園,2022,3,16,6,2,1,,,,8,2
世田谷学園,2021,1,1,1,1,1,A,A1,2,5,1
世田谷学園,2021,1,2,1,2,1,D,D4,1,5,1
世田谷学園,2021,1,3,1,3,1,J,J1,2,5,1
世田谷学園,2021,1,4,1,4,1,D,D5,2,5,1
世田谷学園,2021,1,5,1,5,1,C,C4,2,5,1
世田谷学園,2021,1,6,1,6,1,F,F3,3,5,1
世田谷学園,2021,1,7,2,1,1,E,E1,2,7,1
世田谷学園,2021,1,8,2,2,1,E,E2,2,7,1
世田谷学園,2021,1,9,3,1,1,F,F3,2,7,1
世田谷学園,2021,1,10,3,2,1,G,G2,3,7,1
世田谷学園,2021,1,11,4,1,1,J,J1,2,7,1
世田谷学園,2021,1,12,4,2,1,J,J1,2,7,1
世田谷学園,2021,1,13,5,1,1,F,F2,2,7,3
世田谷学園,2021,1,14,5,2,1,F,F3,2,7,2
世田谷学園,2021,1,15,6,1,1,D,D1,3,7,2
世田谷学園,2021,1,16,6,2,1,D,D5,3,7,2
世田谷学園,2021,2,1,1,1,1,,,,5,1
世田谷学園,2021,2,2,1,2,1,,,,5,1
世田谷学園,2021,2,3,1,3,1,,,,5,1
世田谷学園,2021,2,4,1,4,1,,,,5,1
世田谷学園,2021,2,5,1,5,1,,,,5,1
世田谷学園,2021,2,6,1,6,1,,,,5,1
世田谷学園,2021,2,7,2,1,1,,,,7,1
世田谷学園,2021,2,8,2,2,1,,,,7,1
世田谷学園,2021,2,9,3,1,1,,,,7,1
世田谷学園,2021,2,10,3,2,1,,,,7,1
世田谷学園,2021,2,11,4,1,1,,,,7,1
世田谷学園,2021,2,12,4,2,1,,,,7,1
世田谷学園,2021,2,13,5,1,1,,,,7,2
世田谷学園,2021,2,14,5,2,1,,,,7,2
世田谷学園,2021,2,15,6,1,1,,,,7,3
世田谷学園,2021,2,16,6,2,1,,,,7,2
世田谷学園,2021,3,1,1,1,1,,,,5,1
世田谷学園,2021,3,2,1,2,1,,,,5,1
世田谷学園,2021,3,3,1,3,1,,,,5,1
世田谷学園,2021,3,4,1,4,1,,,,5,1
世田谷学園,2021,3,5,1,5,1,,,,5,1
世田谷学園,2021,3,6,1,6,1,,,,5,1
世田谷学園,2021,3,7,2,1,1,,,,7,1
世田谷学園,2021,3,8,2,2,1,,,,7,1
世田谷学園,2021,3,9,3,1,1,,,,7,1
世田谷学園,2021,3,10,3,2,1,,,,7,1
世田谷学園,2021,3,11,4,1,1,,,,7,1
世田谷学園,2021,3,12,4,2,1,,,,7,1
世田谷学園,2021,3,13,5,1,1,,,,7,2
世田谷学園,2021,3,14,5,2,1,,,,7,2
世田谷学園,2021,3,15,6,1,1,,,,7,2
世田谷学園,2021,3,16,6,2,1,,,,7,2
高輪,2022,1,1,1,1,1,A,A1,1,5,1
高輪,2022,1,2,1,2,1,A,A1,2,5,1
高輪,2022,1,3,1,3,1,A,A1,2,5,1
高輪,2022,1,4,1,4,1,A,A1,2,5,1
高輪,2022,1,5,2,1,1,B,B1,1,6,1
高輪,2022,1,6,2,2,1,H,H4,2,6,1
高輪,2022,1,7,2,3,1,C,C5,2,6,1
高輪,2022,1,8,2,4,1,D,D4,2,8,2
高輪,2022,1,9,3,1,1,E,E1,2,6,1
高輪,2022,1,10,3,2,1,E,E1,2,6,1
高輪,2022,1,11,3,3,1,E,E1,2,6,1
高輪,2022,1,12,4,1,1,F,F2,2,6,1
高輪,2022,1,13,4,2,1,F,F2,2,6,1
高輪,2022,1,14,4,3,1,F,F2,2,6,1
高輪,2022,1,15,5,1,1,G,G4,2,6,1
高輪,2022,1,16,5,2,1,G,G2,2,6,1
高輪,2022,1,17,5,3,1,G,G2,2,6,1
高輪,2021,1,1,1,1,1,A,A1,1,5,1
高輪,2021,1,2,1,2,1,A,A1,1,5,1
高輪,2021,1,3,1,3,1,A,A1,2,5,1
高輪,2021,1,4,1,4,1,A,A1,2,5,1
高輪,2021,1,5,2,1,1,C,C4,2,6,1
高輪,2021,1,6,2,2,1,D,D5,2,6,1
高輪,2021,1,7,2,3,1,D,D7,2,6,1
高輪,2021,1,8,2,4,1,J,J1,2,8,2
高輪,2021,1,9,3,1,1,E,E1,1,6,1
高輪,2021,1,10,3,2,1,E,E2,2,6,1
高輪,2021,1,11,3,3,1,E,E2,2,6,1
高輪,2021,1,12,4,1,1,F,F2,2,6,1
高輪,2021,1,13,4,2,1,F,F4,2,6,1
高輪,2021,1,14,4,3,1,F,F4,2,6,1
高輪,2021,1,15,5,1,1,F,F2,2,6,1
高輪,2021,1,16,5,2,1,F,F4,2,6,1
高輪,2021,1,17,5,3,1,F,F4,2,6,1
高輪,2020,1,1,1,1,1,A,A1,1,5,1
高輪,2020,1,2,1,2,1,A,A1,1,5,1
高輪,2020,1,3,1,3,1,A,A1,2,5,1
高輪,2020,1,4,1,4,1,A,A1,2,5,1
高輪,2020,1,5,2,1,1,K,K2,2,6,1
高輪,2020,1,6,2,2,1,C,C3,2,6,1
高輪,2020,1,7,2,3,1,E,E3,2,6,1
高輪,2020,1,8,2,4,1,C,C2,2,8,2
高輪,2020,1,9,3,1,1,E,E2,2,6,1
高輪,2020,1,10,3,2,1,E,E2,2,6,1
高輪,2020,1,11,3,3,1,E,E2,2,6,1
高輪,2020,1,12,4,1,1,F,F2,2,6,1
高輪,2020,1,13,4,2,1,F,F3,2,6,1
高輪,2020,1,14,4,3,1,F,F3,2,6,1
高輪,2020,1,15,5,1,1,F,F3,2,6,1
高輪,2020,1,16,5,2,1,F,F3,2,6,1
高輪,2020,1,17,5,3,1,F,F3,2,6,1
青稜,2021,1,1,1,1,1,A,A1,1,5,1
青稜,2021,1,2,1,2,1,A,A1,1,5,1
青稜,2021,1,3,1,3,1,A,A1,1,5,1
青稜,2021,1,4,1,4,1,A,A1,1,5,1
青稜,2021,1,5,1,5,1,A,A1,1,5,1
青稜,2021,1,6,2,1,1,D,D3,1,5,1
青稜,2021,1,7,2,2,1,C,C3,1,5,1
青稜,2021,1,8,2,3,1,H,H2,1,5,1
青稜,2021,1,9,2,4,1,D,D2,1,5,1
青稜,2021,1,10,2,5,1,D,D7,1,5,1
青稜,2021,1,11,2,6,1,J,J1,1,5,1
青稜,2021,1,12,2,7,1,G,G2,2,5,1
青稜,2021,1,13,3,1,1,D,D5,2,5,1
青稜,2021,1,14,4,1,1,B,B2,2,5,1
青稜,2021,1,15,5,1,1,F,F2,2,5,1
青稜,2021,1,16,6,1,1,E,E3,2,5,1
青稜,2021,1,17,6,2,1,E,E3,2,5,1
青稜,2021,1,18,7,1,1,D,D6,2,5,1
青稜,2021,1,19,7,2,1,D,D6,2,5,1
青稜,2021,1,20,7,3,1,D,D6,3,5,1
青稜,2020,1,1,1,1,1,A,A1,1,5,1
青稜,2020,1,2,1,2,1,A,A1,1,5,1
青稜,2020,1,3,1,3,1,A,A1,1,5,1
青稜,2020,1,4,1,4,1,A,A1,1,5,1
青稜,2020,1,5,1,5,1,A,A1,2,5,1
青稜,2020,1,6,2,1,1,K,K2,1,5,1
青稜,2020,1,7,2,2,1,D,D1,1,5,1
青稜,2020,1,8,2,3,1,C,C4,2,5,1
青稜,2020,1,9,2,4,1,D,D3,2,5,1
青稜,2020,1,10,2,5,1,J,J1,2,5,1
青稜,2020,1,11,2,6,1,B,B1,2,5,1
青稜,2020,1,12,2,7,1,F,F1,2,5,1
青稜,2020,1,13,3,1,1,C,C5,2,5,1
青稜,2020,1,14,4,1,1,H,H1,2,5,1
青稜,2020,1,15,5,1,1,F,F2,2,5,1
青稜,2020,1,16,6,1,1,F,F3,2,5,1
青稜,2020,1,17,6,2,1,F,F3,2,5,1
青稜,2020,1,18,7,1,1,D,D1,2,5,1
青稜,2020,1,19,7,2,1,D,D1,2,5,1
青稜,2020,1,20,7,3,1,D,D1,3,5,1
香蘭,2020,1,1,1,1,1,A,A1,1,4,1
香蘭,2020,1,2,1,2,1,A,A1,1,4,1
香蘭,2020,1,3,1,3,1,A,A1,1,4,1
香蘭,2020,1,4,1,4,1,A,A1,1,4,1
香蘭,2020,1,5,1,5,1,D,D1,2,4,1
香蘭,2020,1,6,1,6,1,D,D1,1,4,1
香蘭,2020,1,7,1,7,1,F,F2,2,4,1
香蘭,2020,1,8,1,8,1,F,F1,1,4,1
香蘭,2020,1,9,1,9,1,D,D6,2,4,1
香蘭,2020,1,10,1,10,1,F,F6,1,4,1
香蘭,2020,1,11,1,11,1,D,D3,1,5,1
香蘭,2020,1,12,1,12,1,C,C4,1,5,1
香蘭,2020,1,13,1,13,1,E,E5,2,5,1
香蘭,2020,1,14,1,14,1,D,D5,2,5,1
香蘭,2020,1,15,2,1,1,G,G4,2,5,1
香蘭,2020,1,16,2,2,1,G,G4,2,5,1
香蘭,2020,1,17,3,1,1,L,L1,2,5,1
香蘭,2020,1,18,3,2,1,L,L1,2,5,1
香蘭,2020,1,19,3,3,1,L,L1,2,5,1
香蘭,2020,1,20,4,1,1,E,E6,2,5,1
香蘭,2020,1,21,4,2,1,E,E6,2,5,1
香蘭,2020,1,22,4,3,1,F,F1,2,5,1
香蘭,2021,1,1,1,1,1,A,A1,1,4,1
香蘭,2021,1,2,1,2,1,A,A1,1,4,1
香蘭,2021,1,3,1,3,1,A,A1,1,4,1
香蘭,2021,1,4,1,4,1,A,A1,1,4,1
香蘭,2021,1,5,1,5,1,D,D1,1,4,1
香蘭,2021,1,6,1,6,1,D,D4,2,4,1
香蘭,2021,1,7,1,7,1,C,C3,2,4,1
香蘭,2021,1,8,1,8,1,F,F2,2,4,1
香蘭,2021,1,9,1,9,1,F,F2,2,4,1
香蘭,2021,1,10,1,10,1,D,D3,2,4,1
香蘭,2021,1,11,1,11,1,H,H4,2,5,1
香蘭,2021,1,12,1,12,1,D,D5,3,5,1
香蘭,2021,1,13,1,13,1,E,E4,2,5,1
香蘭,2021,1,14,1,14,1,E,E3,2,5,1
香蘭,2021,1,15,2,1,1,J,J1,1,5,1
香蘭,2021,1,16,2,2,1,J,J1,2,5,1
香蘭,2021,1,17,3,1,1,E,E6,2,5,1
香蘭,2021,1,18,3,2,1,E,E6,2,5,1
香蘭,2021,1,19,3,3,1,E,E6,2,5,1
香蘭,2021,1,20,4,1,1,F,F1,2,5,1
香蘭,2021,1,21,4,2,1,F,F1,2,5,1
香蘭,2021,1,22,4,3,1,F,F6,2,5,1
広尾,2021,1,1,1,1,1,,,,5,1
広尾,2021,1,2,1,2,1,,,,5,1
広尾,2021,1,3,1,3,1,,,,6,1
広尾,2021,1,4,1,4,1,,,,6,1
広尾,2021,1,5,1,5,1,,,,6,1
広尾,2021,1,6,1,6,1,,,,6,1
広尾,2021,1,7,2,1,1,,,,6,1
広尾,2021,1,8,2,2,1,,,,6,1
広尾,2021,1,9,2,3,1,,,,6,1
広尾,2021,1,10,3,1,1,,,,6,1
広尾,2021,1,11,3,2,1,,,,6,1
広尾,2021,1,12,3,3,1,,,,6,1
広尾,2021,1,13,4,1,1,,,,6,1
広尾,2021,1,14,4,2,1,,,,6,1
広尾,2021,1,15,4,3,1,,,,6,1
広尾,2021,1,16,5,1,1,,,,6,1
広尾,2021,1,17,5,2,1,,,,6,2
広尾,2020,1,1,1,1,1,,,,5,1
広尾,2020,1,2,1,1,2,,,,5,1
広尾,2020,1,3,1,2,1,,,,6,1
広尾,2020,1,4,1,3,1,,,,6,1
広尾,2020,1,5,1,4,1,,,,6,1
広尾,2020,1,6,1,6,1,,,,6,3
広尾,2020,1,7,2,1,1,,,,6,1
広尾,2020,1,8,2,2,1,,,,6,1
広尾,2020,1,9,2,3,1,,,,6,1
広尾,2020,1,10,3,1,1,,,,6,1
広尾,2020,1,11,3,2,1,,,,6,1
広尾,2020,1,12,3,3,1,,,,6,1
広尾,2020,1,13,4,1,1,,,,6,1
広尾,2020,1,14,4,2,1,,,,6,1
広尾,2020,1,15,4,3,1,,,,6,1
広尾,2020,1,16,5,1,1,,,,6,3
広尾,2020,1,17,5,2,1,,,,6,2